Region,Code,Area_name,All_Residents,age20to29,Age30to49,Age50to69,Age70andover,Leave_votes,Remain_votes,Percent_Leave,Percent_Remain,Percent_Turnout,Voting
East Midlands,E07000129,Blaby,93915,9995,26318,23521,11849,33583,22888,59.47,40.53,76.54,Leave
London,E09000020,Kensington and Chelsea,158649,27924,56553,31608,12844,17138,37601,31.31,68.69,65.99,Remain
East Midlands,E07000134,North West Leicestershire,93468,9678,26710,24098,11031,34969,22642,60.7,39.3,77.95,Leave
West Midlands,E07000235,Malvern Hills,74631,6065,17650,21824,12886,25294,23203,52.16,47.84,80.61,Leave
South East,E07000209,Guildford,137183,20560,38820,30328,15427,34458,44155,43.83,56.17,76.96,Remain
London,E09000005,Brent,311215,58896,96834,54764,23096,48881,72523,40.26,59.74,65.14,Remain
North West,E08000011,Knowsley,145893,19075,38869,34343,16850,36558,34345,51.56,48.44,63.54,Leave
North West,E07000121,Lancaster,138375,21163,33917,32430,18179,37309,35732,51.08,48.92,72.69,Leave
London,E09000028,Southwark,288283,62721,100643,42773,15782,35209,94293,27.19,72.81,66.2,Remain
West Midlands,E07000197,Stafford,130869,15111,35506,34160,17449,43386,34098,55.99,44.01,77.83,Leave
